,Current Trading Date,Previous  Trading Date,Current Day Adjusted CLose Price,Previous Day Adjusted Close Price,Percentage Price Change,Current Volume,Previous Volume,Distribution_Day,vol_diff
2253,2016-11-04,2016-11-03,8433,8484,-0.6,224800,170500,True,54300
2256,2016-11-09,2016-11-08,8432,8543,-1.31,314300,195700,True,118600
2258,2016-11-11,2016-11-10,8296,8525,-2.69,266900,263100,True,3800
2259,2016-11-15,2016-11-11,8108,8296,-2.26,359200,266900,True,92300
2263,2016-11-21,2016-11-18,7929,8074,-1.8,218800,161200,True,57600
2266,2016-11-24,2016-11-23,7965,8033,-0.84,260500,181000,True,79500
2272,2016-12-02,2016-12-01,8086,8192,-1.3,171500,157700,True,13800
2275,2016-12-07,2016-12-06,8102,8143,-0.5,169800,115300,True,54500
2281,2016-12-15,2016-12-14,8153,8182,-0.35,181800,144600,True,37200
2284,2016-12-20,2016-12-19,8082,8104,-0.27,128000,107400,True,20600
2307,2017-01-20,2017-01-19,8349,8435,-1.02,202600,165900,True,36700
2313,2017-01-31,2017-01-30,8561,8632,-0.83,521000,304700,True,216300
2318,2017-02-07,2017-02-06,8768,8801,-0.37,226300,194400,True,31900
2324,2017-02-15,2017-02-14,8724,8792,-0.77,216100,188300,True,27800
2334,2017-03-02,2017-03-01,8899,8945,-0.51,218800,205900,True,12900
2338,2017-03-08,2017-03-07,8924,8946,-0.25,177800,173400,True,4400
2345,2017-03-20,2017-03-17,9126,9160,-0.36,332100,286700,True,45400
2358,2017-04-07,2017-04-06,9198,9261,-0.69,190000,186100,True,3900
2362,2017-04-13,2017-04-12,9150,9203,-0.57,166500,161800,True,4700
2364,2017-04-18,2017-04-17,9105,9139,-0.37,174200,0,True,174200
2388,2017-05-23,2017-05-22,9386,9438,-0.55,224400,196800,True,27600
2398,2017-06-06,2017-06-05,9637,9675,-0.39,145900,127700,True,18200
2412,2017-06-27,2017-06-23,9511,9574,-0.66,203300,175200,True,28100
2427,2017-07-18,2017-07-17,9827,9915,-0.9,293900,163500,True,130400
2439,2017-08-03,2017-08-02,10013,10081,-0.67,192700,161500,True,31200
2442,2017-08-08,2017-08-07,9978,10057,-0.78,203300,137400,True,65900
2444,2017-08-10,2017-08-09,9820,9908,-0.89,235500,169200,True,66300
2445,2017-08-11,2017-08-10,9710,9820,-1.11,285900,235500,True,50400
2449,2017-08-18,2017-08-17,9837,9904,-0.67,246300,197600,True,48700
2455,2017-08-29,2017-08-28,9796,9912,-1.18,173300,159600,True,13700
2461,2017-09-06,2017-09-05,9916,9952,-0.36,149200,139200,True,10000
2473,2017-09-22,2017-09-21,9964,10121,-1.56,226600,191800,True,34800
2476,2017-09-27,2017-09-26,9735,9871,-1.38,200100,190900,True,9200
2485,2017-10-11,2017-10-10,9984,10016,-0.32,189700,148600,True,41100
2490,2017-10-18,2017-10-17,10210,10234,-0.23,254200,195700,True,58500
2503,2017-11-07,2017-11-06,10350,10451,-0.97,286900,193600,True,93300
2508,2017-11-14,2017-11-13,10186,10224,-0.38,305000,210300,True,94700
2518,2017-11-28,2017-11-27,10370,10399,-0.28,196000,141900,True,54100
2520,2017-11-30,2017-11-29,10226,10361,-1.3,342500,152500,True,190000
2524,2017-12-06,2017-12-05,10044,10118,-0.73,166100,155500,True,10600
2528,2017-12-12,2017-12-11,10240,10322,-0.8,175100,147400,True,27700
2529,2017-12-13,2017-12-12,10192,10240,-0.46,181600,175100,True,6500
2538,2017-12-27,2017-12-26,10490,10531,-0.39,165200,155600,True,9600
2552,2018-01-16,2018-01-15,10700,10741,-0.38,211000,175900,True,35100
2566,2018-02-06,2018-02-05,10498,10666,-1.58,266500,240100,True,26400
2571,2018-02-14,2018-02-12,10500,10539,-0.37,229200,217400,True,11800
2574,2018-02-19,2018-02-16,10378,10452,-0.71,187300,184300,True,3000
2580,2018-02-27,2018-02-26,10554,10582,-0.27,187500,171900,True,15600
2581,2018-02-28,2018-02-27,10492,10554,-0.58,286000,187500,True,98500
2583,2018-03-05,2018-03-01,10358,10458,-0.95,194000,176000,True,18000
2584,2018-03-06,2018-03-05,10249,10358,-1.06,222900,194000,True,28900
2585,2018-03-07,2018-03-06,10154,10249,-0.93,249500,222900,True,26600
2592,2018-03-16,2018-03-15,10195,10360,-1.59,328500,173900,True,154600
2596,2018-03-22,2018-03-21,10114,10155,-0.4,230500,204800,True,25700
2597,2018-03-23,2018-03-22,9998,10114,-1.15,285700,230500,True,55200
2600,2018-03-28,2018-03-27,10113,10184,-0.69,344400,225700,True,118700
2603,2018-04-04,2018-04-03,10128,10245,-1.14,231100,205300,True,25800
2624,2018-05-04,2018-05-03,10618,10679,-0.57,186500,185200,True,1300
2634,2018-05-18,2018-05-17,10596,10682,-0.81,223000,214100,True,8900
2637,2018-05-23,2018-05-22,10430,10536,-1.01,290900,241700,True,49200
2656,2018-06-19,2018-06-18,10710,10799,-0.83,224500,196600,True,27900
2658,2018-06-21,2018-06-20,10741,10772,-0.29,223600,193500,True,30100
2662,2018-06-27,2018-06-26,10671,10769,-0.91,246000,220000,True,26000
2663,2018-06-28,2018-06-27,10589,10671,-0.77,352300,246000,True,106300
2665,2018-07-02,2018-06-29,10657,10714,-0.53,295400,242800,True,52600
2675,2018-07-16,2018-07-13,10936,11018,-0.74,210500,0,True,210500
2677,2018-07-18,2018-07-17,10980,11008,-0.25,225500,210600,True,14900
2695,2018-08-13,2018-08-10,11355,11429,-0.65,246900,0,True,246900
2697,2018-08-16,2018-08-14,11385,11435,-0.44,290600,232600,True,58000
2705,2018-08-29,2018-08-28,11691,11738,-0.4,251600,241900,True,9700
2709,2018-09-04,2018-09-03,11520,11582,-0.54,254800,234400,True,20400
2718,2018-09-18,2018-09-17,11278,11377,-0.87,240900,201400,True,39500
2719,2018-09-19,2018-09-18,11234,11278,-0.39,250600,240900,True,9700
2720,2018-09-21,2018-09-19,11143,11234,-0.81,719000,250600,True,468400
2724,2018-09-27,2018-09-26,10977,11053,-0.69,405700,340500,True,65200
2725,2018-09-28,2018-09-27,10930,10977,-0.43,478100,405700,True,72400
2728,2018-10-04,2018-10-03,10599,10858,-2.39,425100,386800,True,38300
2729,2018-10-05,2018-10-04,10316,10599,-2.67,606400,425100,True,181300
2733,2018-10-11,2018-10-10,10234,10460,-2.16,483500,0,True,483500
2737,2018-10-17,2018-10-16,10453,10584,-1.24,284800,265200,True,19600
2738,2018-10-19,2018-10-17,10303,10453,-1.43,357500,284800,True,72700
2740,2018-10-23,2018-10-22,10146,10245,-0.96,302600,297300,True,5300
2743,2018-10-26,2018-10-25,10030,10124,-0.94,364300,0,True,364300
2759,2018-11-20,2018-11-19,10656,10763,-1.0,295200,272100,True,23100
2760,2018-11-21,2018-11-20,10600,10656,-0.53,300900,295200,True,5700
